age,sex,education,income_respondent,children_in_household,marital_status,feelings_life,has_partner
45.1,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",Three or more children,Married,10,1
59.9,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Living common-law,8,1
80,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Widowed,8,0
60.7,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,7,1
64.1,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Living common-law,8,1
57.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,Divorced,7,0
29,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,"Single, never married",8,0
44.8,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",One child,Married,9,1
16.8,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",6,0
56.9,Male,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Married,8,1
55.3,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,7,1
66.6,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",8,0
46.3,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Living common-law,8,1
34.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",Two children,Married,9,1
54,Male,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",No child,"Single, never married",9,0
56.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,8,1
26.7,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,"Single, never married",7,0
45.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",9,0
67.3,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,10,1
80,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,10,1
28.2,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,"Single, never married",8,0
67.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Separated,10,0
32.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",One child,Married,6,1
39.1,Male,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Three or more children,Living common-law,9,1
75.8,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Widowed,9,0
52.2,Male,"University certificate, diploma or degree above the bach...","Less than $25,000",No child,Married,8,1
34.9,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,"Single, never married",6,0
39.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,"Single, never married",6,0
65.9,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,10,1
45.3,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Living common-law,10,1
39.8,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",9,0
80,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",No child,Widowed,8,0
31.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,8,1
51.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,Married,8,1
52.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Living common-law,10,1
70.9,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,10,1
42.5,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",One child,Married,9,1
45.8,Male,Trade certificate or diploma,"$50,000 to $74,999",One child,Living common-law,8,1
47.8,Male,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",Two children,Married,7,1
69.7,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,8,1
22.8,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",8,0
21.9,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,"Single, never married",8,0
60.8,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,8,1
80,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Living common-law,10,1
80,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,8,1
70.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,9,1
17.5,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",10,0
62.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,"Single, never married",5,0
45.2,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Separated,5,0
52.8,Female,Trade certificate or diploma,"Less than $25,000",No child,"Single, never married",4,0
22.3,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,"Single, never married",10,0
51.4,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Living common-law,10,1
35.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",One child,Married,10,1
60,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,8,1
38.9,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Two children,Married,8,1
29.9,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",One child,Separated,6,0
59.3,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,10,1
48.8,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Living common-law,5,1
68.5,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,Married,10,1
44.8,Male,"University certificate, diploma or degree above the bach...","$100,000 to $ 124,999",No child,Divorced,7,0
75.5,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Widowed,8,0
65.5,Female,Trade certificate or diploma,"$25,000 to $49,999",No child,Married,8,1
54.1,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,8,1
34.3,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Separated,9,0
32.9,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",Two children,Married,5,1
45.1,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,9,1
68.3,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Divorced,7,0
21.5,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",4,0
56.8,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Living common-law,8,1
40.7,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Living common-law,5,1
30,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Married,9,1
62.2,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,9,1
55.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,Living common-law,8,1
80,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,8,0
39.7,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",Two children,Married,8,1
71.8,Male,Trade certificate or diploma,"Less than $25,000",No child,Divorced,9,0
76.3,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,10,1
80,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,10,0
55.7,Female,Trade certificate or diploma,"$75,000 to $99,999",No child,Divorced,5,0
60.9,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,8,1
34.6,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Living common-law,8,1
69.5,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,8,1
77.2,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,10,1
40.2,Female,Trade certificate or diploma,"$50,000 to $74,999",One child,Married,8,1
45.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",One child,Married,8,1
51.9,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",One child,"Single, never married",6,0
61.3,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,9,1
47.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",Two children,Married,7,1
54,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,Married,9,1
44.1,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,"Single, never married",6,0
37.4,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",Two children,Married,8,1
31.7,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,"Single, never married",7,0
35.6,Female,"University certificate, diploma or degree above the bach...","Less than $25,000",Two children,Married,10,1
34.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,"Single, never married",8,0
46.6,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,10,1
38.3,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",One child,Separated,6,0
33.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",Three or more children,Married,10,1
37,Female,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Two children,Married,10,1
30.1,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",One child,Married,9,1
75.3,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,10,0
60.8,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Living common-law,9,1
42.1,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",One child,Living common-law,7,1
53.1,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,10,1
55.5,Female,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",No child,Married,8,1
19.4,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,"Single, never married",8,0
72.2,Male,Trade certificate or diploma,"$25,000 to $49,999",No child,Married,10,1
59.3,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Divorced,7,0
40.3,Male,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",No child,Divorced,8,0
80,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,Widowed,4,0
63.3,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Widowed,8,0
27.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,8,1
54.2,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",No child,Married,8,1
55.5,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,"Single, never married",8,0
35.5,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",Three or more children,Married,9,1
65.9,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,9,1
39.3,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",No child,"Single, never married",7,0
66.9,Male,Trade certificate or diploma,"Less than $25,000",No child,Living common-law,8,1
69.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",No child,Married,8,1
22.9,Female,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",No child,"Single, never married",5,0
39,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",No child,"Single, never married",7,0
71.8,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,8,1
67.3,Female,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",No child,Married,8,1
28,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",One child,"Single, never married",8,0
71.3,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,9,1
67,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Married,7,1
60.7,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,"Single, never married",10,0
35.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,"Single, never married",8,0
80,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,10,0
65.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Married,10,1
57.4,Female,"University certificate, diploma or degree above the bach...","Less than $25,000",No child,Divorced,4,0
65.5,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,7,1
30.1,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",8,0
41.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",Three or more children,Married,8,1
61.7,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,10,1
61.5,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",No child,Divorced,10,0
39,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",Three or more children,Married,8,1
67.9,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",No child,Divorced,0,0
78.1,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,8,1
35.7,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",Three or more children,Married,8,1
77.8,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Living common-law,10,1
17.3,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",10,0
52.4,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",No child,Married,8,1
20.3,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",10,0
65.8,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,10,1
54.9,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,"Single, never married",7,0
59.1,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Widowed,1,0
63.5,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",One child,Divorced,5,0
80,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,7,0
28.3,Female,Trade certificate or diploma,"Less than $25,000",No child,"Single, never married",7,0
80,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Widowed,7,0
79.8,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Divorced,4,0
73,Male,Trade certificate or diploma,"$50,000 to $74,999",No child,Married,4,1
45.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",Three or more children,Married,9,1
37.3,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,"Single, never married",6,0
30.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",Two children,Living common-law,8,1
43.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",Two children,Married,9,1
57.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",No child,Married,8,1
48,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,"Single, never married",7,0
40.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Married,8,1
67.9,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,9,1
67.5,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,9,1
34.7,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,"Single, never married",6,0
70.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,10,1
80,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,9,1
52.7,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Divorced,10,0
49.6,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,"Single, never married",10,0
43.5,Male,Trade certificate or diploma,"$125,000 and more",No child,Married,7,1
42.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Living common-law,8,1
70.9,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,10,1
69.8,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Divorced,10,0
40.6,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",Two children,Married,8,1
42.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",One child,Married,8,1
55.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",No child,Married,8,1
71.8,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Widowed,8,0
57.2,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",No child,Divorced,7,0
40.4,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,"Single, never married",9,0
38.7,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",One child,Married,10,1
29.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",One child,Married,10,1
57.7,Male,Trade certificate or diploma,"$50,000 to $74,999",No child,Married,7,1
80,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,5,1
39.3,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,9,1
49.5,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Married,6,1
59.4,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Separated,8,0
38.4,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",9,0
46.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",Two children,Married,7,1
64.8,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,8,1
66.7,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,8,1
74.8,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,Married,10,1
64.3,Female,Less than high school diploma or its equivalent,"Less than $25,000",One child,Divorced,10,0
62.6,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,"Single, never married",10,0
61.5,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,10,1
73,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",No child,Widowed,6,0
75.8,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,"Single, never married",10,0
48.5,Female,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",No child,Married,8,1
68.7,Male,Trade certificate or diploma,"$125,000 and more",No child,Married,10,1
41.7,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",Two children,Living common-law,10,1
30.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",9,0
46.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",One child,Married,7,1
31.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",Three or more children,Married,8,1
41.1,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,"Single, never married",10,0
60.4,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Divorced,8,0
74.2,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Widowed,8,0
80,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,9,1
64.3,Female,Trade certificate or diploma,"Less than $25,000",No child,Married,8,1
55.2,Female,Trade certificate or diploma,"Less than $25,000",No child,Married,8,1
25.5,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",One child,Living common-law,8,1
79.5,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,9,0
70.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Divorced,8,0
46.8,Male,Trade certificate or diploma,"Less than $25,000",No child,Married,7,1
69.2,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,8,1
34,Male,Trade certificate or diploma,"$100,000 to $ 124,999",One child,Married,8,1
48.8,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,"Single, never married",6,0
36.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,"Single, never married",8,0
68.3,Male,Trade certificate or diploma,"Less than $25,000",No child,Married,9,1
63.3,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,9,1
55.4,Male,Trade certificate or diploma,"$25,000 to $49,999",No child,Divorced,8,0
28.8,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,Married,8,1
68.8,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Married,8,1
15.3,Male,Less than high school diploma or its equivalent,"Less than $25,000",One child,"Single, never married",9,0
62.6,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Divorced,10,0
45.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",Two children,Married,9,1
70.3,Female,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",No child,Divorced,8,0
27,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",One child,Living common-law,9,1
60.5,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,9,1
64.6,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,Divorced,0,0
21.9,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",7,0
60.4,Female,University certificate or diploma below the bachelor's level,"$100,000 to $ 124,999",No child,Married,8,1
66.3,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,9,1
68.6,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,8,1
24.3,Female,Less than high school diploma or its equivalent,"Less than $25,000",One child,Married,10,1
71.4,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",No child,Separated,9,0
18.6,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",10,0
61.2,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Married,10,1
64,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,8,1
58.9,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Divorced,9,0
63.6,Female,Trade certificate or diploma,"$25,000 to $49,999",No child,Married,10,1
41.3,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",Two children,Married,7,1
80,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,9,0
75.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Married,5,1
60,Female,"University certificate, diploma or degree above the bach...","Less than $25,000",No child,Married,10,1
38.9,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",Two children,Married,9,1
18.6,Female,Less than high school diploma or its equivalent,"Less than $25,000",One child,"Single, never married",10,0
58.4,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,"Single, never married",9,0
54.8,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,8,1
57,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Divorced,9,0
80,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Widowed,9,0
56.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",6,0
69.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,9,1
50.9,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",8,0
35,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",One child,Separated,8,0
30.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",One child,Living common-law,8,1
31.4,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",One child,Living common-law,10,1
47.2,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",One child,Separated,8,0
24.6,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",4,0
21.9,Female,Trade certificate or diploma,"$25,000 to $49,999",No child,"Single, never married",7,0
43.7,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",No child,Married,9,1
62.3,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,10,1
46.9,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",4,0
42.4,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",Two children,Married,7,1
68.5,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,8,1
72.2,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,Married,10,1
41.8,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",Three or more children,Married,7,1
64.8,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Separated,5,0
73.9,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Widowed,8,0
70.6,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Divorced,6,0
71.1,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Divorced,10,0
57.6,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Separated,4,0
25.5,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",9,0
75.8,Male,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",No child,Married,8,1
69.9,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Married,10,1
43.4,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,"Single, never married",7,0
64.8,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Living common-law,10,1
50.9,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",No child,Married,10,1
67.8,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Divorced,8,0
61.9,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Divorced,5,0
65.9,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",No child,Married,8,1
58.4,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Divorced,8,0
54.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Living common-law,8,1
44.6,Female,"University certificate, diploma or degree above the bach...","Less than $25,000",One child,Separated,8,0
73.9,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,Widowed,8,0
50.1,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",No child,Married,8,1
79,Male,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",No child,Married,8,1
68.6,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",5,0
23,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",8,0
80,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",No child,Married,8,1
29.4,Male,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",Two children,Married,10,1
